OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,method,identity
9db2817f5c42be6a7bcbca662959982d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,VSEARCH-silva,100.0
a3eb965915904fca83341edc85f0ceff,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,,VSEARCH-silva,100.0
8d2a29d23de2d1b6cada06bf85915274,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,VSEARCH-silva,98.0
855d24afaf4cd7560ab87f4111a20259,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,,VSEARCH-silva,72.0
8f18893efc83905ce1909f4b3f291e08,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured,,VSEARCH-silva,100.0
49a79157ba0d5e8ca28aa64282717b45,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,,VSEARCH-silva,85.0
439abb3fb951bb63270bcb8588f1b7ed,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,,VSEARCH-silva,100.0
0fc8be07f6f0f5fce612fc3ca5e9f3bc,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,HSB_OF53-F07,,VSEARCH-silva,100.0
ad5db97e5236e5b1b1e5728586c8e087,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,VSEARCH-silva,100.0
dff4784e4df7949fe10f5acd3ec3d8dd,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured,,VSEARCH-silva,97.0
00263c937de6e17c0d30a738a61b4af6,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,uncultured,,VSEARCH-silva,100.0
6b93311bf0e0cdacaaa61ae89c9e6f35,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,,,,VSEARCH-silva,100.0
98e900675c866d391ce23a1d915d3656,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,VSEARCH-silva,100.0
fbe452bfa3cd770ce83d1880c4f5cd57,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,VSEARCH-silva,100.0
e2306703e21ac2710473c87674d3a72b,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,uncultured,,VSEARCH-silva,100.0
2008afbfe143b33dff2ca4aee1b819a0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloligellaceae,,VSEARCH-silva,83.0
1a76d20e1d5c124285bb911d2fb396b8,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,HSB_OF53-F07,,VSEARCH-silva,100.0
aea8386e89fed2cf8b980b81bf801483,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,,VSEARCH-silva,100.0
fb75fa1fac5ad54c9d64c653e50a7126,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,VSEARCH-silva,93.0
67fe68b10effbc7af1e15eb1d66f58af,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,VSEARCH-silva,100.0
