SampleID,treatment,phase
SSM2_2_C8,SingleMix,TP2
TC1_2_D2,Control,TP3
SMM1_3_B9,MultiMix,TP2
SMM1_2_B8,MultiMix,TP1
PC1_3_A3,Control,TP1
SMM1_1_B7,MultiMix,TP1
SSM2_3_C9,SingleMix,TP2
TSM1_3_D12,SingleMix,TP3
TSM1_2_D11,SingleMix,TP3
TSm2_2_E2,SingleMix,TP3
TSM2_3_E3,SingleMix,TP3
SC3_3_B6,Control,TP2
SC3_2_B5,Control,TP2
SC3_1_B4,Control,TP2
SC2_2_B2,Control,TP2
SC2_3_B3,Control,TP2
SC2_1_B1,Control,TP2
SC1_3_A12,Control,TP2
SC1_2_A11,Control,TP2
PC1_2_A2,Control,TP1
SC1_1_A10,Control,TP2
PSM1_3_A9,SingleMix,TP1
PSM1_2_A8,SingleMix,TP1
TSM3_2_E5,SingleMix,TP3
TSM3_3_E6,SingleMix,TP3
TSM3_1_E4,SingleMix,TP3
PSM1_1_A7,SingleMix,TP1
TSM2_1_E1,SingleMix,TP3
TSM1_1_D10,SingleMix,TP3
TMM3_3_F3,MultiMix,TP3
TMM3_2_F2,MultiMix,TP3
TC3_1_D7,Control,TP3
TMM1_1_E7,MultiMix,TP2
TMM1_3_E9,MultiMix,TP3
SSM1_3_C6,SingleMix,TP2
SMM3_3_C3,MultiMix,TP2
PMM1_1_A4,MultiMix,TP1
SSM3_3_C12,SingleMix,TP2
TMM2_2_E11,MultiMix,TP3
TMM2_1_E10,MultiMix,TP3
TMM1_2_E8,MultiMix,TP3
TC3_3_D9,Control,TP3
TC3_2_D8,Control,TP3
TC2_3_D6,Control,TP3
TC2_2_D5,Control,TP3
PMM1_2_A5,MultiMix,TP1
TC2_1_D4,Control,TP3
TC1_3_D3,Control,TP3
TC1_1_D1,Control,TP3
SSM3_2_C11,SingleMix,TP2
SSM3_1_C10,SingleMix,TP2
SSM2_1_C7,SingleMix,TP2
SSM1_2_C5,SingleMix,TP2
SSM1_1_C4,SingleMix,TP2
SMM3_2_C2,MultiMix,TP2
SMM3_1_C1,MultiMix,TP2
SMM2_3_B12,MultiMix,TP2
SMM2_2_B11,MultiMix,TP2
SMM2_1_B10,MultiMix,TP2
TMM3_1_F1,MultiMix,TP3
TMM2_3_E12,MultiMix,TP3
PMM1_3_A6,MultiMix,TP1
PC1_1_A1,Control,TP1
