# SRR accession to descriptive sample name mapping for Wang et al. dataset
# Column 1: SRR accession (matches FASTQ filename prefix)
# Column 2: sample_id (matches SampleID column in metadata.csv)
#
# Fill in the correct mapping from the SRA Run Table:
#   https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA610525
#   Download RunInfo → filter for the 63 accessions → sort by sample name
#
# Example (replace with actual mapping):
srr_id,sample_id
SRR11573995,PC1_1_A1
SRR11573996,PC1_2_A2
SRR11573997,PC1_3_A3
SRR11573998,PSM1_1_A7
SRR11573999,PSM1_2_A8
SRR11574000,PSM1_3_A9
SRR11574001,PMM1_1_A4
SRR11574002,PMM1_2_A5
SRR11574003,PMM1_3_A6
SRR11574004,SC1_1_A10
SRR11574005,SC1_2_A11
SRR11574006,SC1_3_A12
SRR11574007,SC2_1_B1
SRR11574008,SC2_2_B2
SRR11574009,SC2_3_B3
SRR11574010,SC3_1_B4
SRR11574011,SC3_2_B5
SRR11574012,SC3_3_B6
SRR11574013,SMM1_1_B7
SRR11574014,SMM1_2_B8
SRR11574015,SMM1_3_B9
SRR11574016,SMM2_1_B10
SRR11574017,SMM2_2_B11
SRR11574018,SMM2_3_B12
SRR11574019,SMM3_1_C1
SRR11574020,SMM3_2_C2
SRR11574021,SMM3_3_C3
SRR11574022,SSM1_1_C4
SRR11574023,SSM1_2_C5
SRR11574024,SSM1_3_C6
SRR11574025,SSM2_1_C7
SRR11574026,SSM2_2_C8
SRR11574027,SSM2_3_C9
SRR11574028,SSM3_1_C10
SRR11574029,SSM3_2_C11
SRR11574030,SSM3_3_C12
SRR11574031,TC1_1_D1
SRR11574032,TC1_2_D2
SRR11574033,TC1_3_D3
SRR11574034,TC2_1_D4
SRR11574035,TC2_2_D5
SRR11574036,TC2_3_D6
SRR11574037,TC3_1_D7
SRR11574038,TC3_2_D8
SRR11574039,TC3_3_D9
SRR11574040,TSM1_1_D10
SRR11574041,TSM1_2_D11
SRR11574042,TSM1_3_D12
SRR11574043,TSm2_2_E2
SRR11574044,TSM2_3_E3
SRR11574045,TSM2_1_E1
SRR11574046,TSM3_1_E4
SRR11574047,TSM3_2_E5
SRR11574048,TSM3_3_E6
SRR11574049,TMM1_1_E7
SRR11574050,TMM1_2_E8
SRR11574051,TMM1_3_E9
SRR11574052,TMM2_1_E10
SRR11574053,TMM2_2_E11
SRR11574054,TMM2_3_E12
SRR11574055,TMM3_1_F1
SRR11574056,TMM3_2_F2
SRR11574057,TMM3_3_F3
